ID,英文,法文,德文,日文,國文,屬性一,屬性二
0,14,11,0,13,15,2,1
1,12,12,0,13,14,1,1
2,12,15,10,14,15,2,0
3,13,15,13,13,15,1,0
4,14,12,0,13,14,1,1
5,13,11,0,14,15,2,0
6,11,13,13,13,14,2,1
7,12,12,0,13,14,2,1
8,9,14,0,12,13,2,1
9,12,14,11,14,15,1,0
10,12,11,13,15,15,1,1
11,13,13,14,13,14,1,0
12,11,13,0,13,13,1,1
13,14,13,0,15,15,2,0
14,8,14,11,11,13,2,0
15,15,13,12,14,14,1,0
16,11,13,0,13,14,2,1
17,11,13,11,11,13,1,1
18,11,15,0,12,13,1,0
19,13,13,12,11,13,2,1
20,11,14,10,14,13,1,1
21,14,13,14,14,14,2,0
22,12,14,9,12,14,2,1
23,14,13,0,13,13,1,0
24,7,13,0,13,14,2,1
25,13,12,11,13,15,2,0
26,13,15,0,14,13,1,0
27,13,15,0,14,14,2,1
28,13,13,0,13,13,1,0
29,14,12,13,15,14,2,1
30,12,12,13,12,14,2,1
31,11,15,9,8,12,2,1
32,12,11,0,14,15,2,0
33,13,15,11,13,14,2,0
34,14,13,0,11,13,2,1
35,14,12,12,13,14,2,1
36,10,14,11,14,12,1,1
37,13,12,0,14,15,2,1
38,15,12,0,14,15,2,0
39,8,15,10,14,12,1,1
40,8,15,10,13,12,1,1
41,12,12,12,13,13,1,1
42,13,13,0,13,13,1,1
43,14,13,0,15,13,2,0
44,13,11,15,15,15,2,1
45,13,14,11,14,14,2,0
46,12,13,11,15,14,1,1
47,14,13,15,15,14,1,0
48,14,15,0,13,14,1,0
49,15,15,12,15,13,1,0
50,13,13,9,13,14,2,0
51,12,12,0,14,14,2,1
52,15,13,13,13,14,1,1
53,13,13,11,13,13,1,1
54,9,13,0,12,13,2,1
55,10,14,9,14,13,1,1
56,13,12,12,13,13,1,1
57,13,12,10,15,14,2,1
58,14,12,11,12,13,2,1
59,13,13,0,14,14,1,1
60,14,14,0,14,13,2,0
61,9,14,10,12,13,2,1
62,14,14,0,14,14,1,0
63,14,13,13,13,14,2,0
64,12,11,0,13,13,1,0
65,15,12,0,14,14,1,0
66,15,12,14,15,15,1,0
67,6,14,8,11,13,1,0
68,15,12,11,12,14,2,0
69,13,12,11,15,14,2,0
70,9,15,0,12,13,1,0
71,11,12,12,9,14,2,0
72,14,13,13,14,14,1,0
73,11,14,0,12,13,1,0
74,11,13,12,14,14,1,0
75,13,14,13,13,14,2,0
76,12,15,0,15,14,1,0
77,11,12,12,14,14,2,0
78,9,13,13,9,13,2,0
79,13,14,11,13,14,1,0
80,9,13,12,10,13,2,0
81,9,14,13,13,14,1,0
82,14,13,13,14,14,1,0
83,10,13,10,13,13,1,0
84,9,13,12,11,14,1,0
85,14,13,9,14,13,1,0
86,11,14,10,12,13,2,0
87,12,13,12,13,13,1,0
88,11,13,7,12,14,2,0
89,10,15,0,13,11,1,0
90,10,14,0,14,13,1,0
91,10,13,13,13,13,1,0
92,12,15,0,11,12,1,0
93,14,12,10,12,15,2,0
94,13,13,10,12,14,1,0
95,8,15,0,12,14,1,0
96,11,13,0,12,13,2,0
97,12,13,0,11,13,1,0
98,12,13,10,12,13,1,0
99,11,12,13,10,14,2,0
100,13,12,12,13,15,1,0
101,9,12,0,12,14,2,0
102,9,14,0,14,13,1,0
103,14,14,0,14,13,1,0
104,12,12,0,11,14,2,0
105,14,12,14,14,14,2,0
106,6,12,11,9,14,2,0
107,11,13,12,14,14,1,0
108,12,12,11,14,14,1,0
109,15,11,0,13,15,2,0
110,9,13,0,14,14,1,0
111,12,15,0,15,15,1,0
112,13,13,11,13,14,1,0
113,14,14,0,13,14,1,0
114,14,14,0,15,13,1,0
115,6,15,13,15,11,1,0
116,14,13,0,12,13,1,0
117,14,14,11,13,13,1,0
118,14,11,0,12,15,1,0
119,10,15,0,10,12,1,0
120,11,14,0,13,12,1,0
121,14,14,12,13,13,1,0
122,11,14,0,12,12,1,0
123,14,11,0,14,15,2,0
124,12,15,0,14,13,1,0
125,13,14,0,14,13,2,0
126,11,14,0,14,13,1,0
127,9,13,13,12,13,1,0
128,13,13,9,12,13,1,0
129,13,14,0,13,14,1,0
130,14,11,13,13,15,2,0
131,12,13,0,14,13,1,0
132,11,15,0,12,12,1,0
133,12,14,11,14,12,1,0
134,11,15,11,13,12,1,0
135,14,15,0,15,14,1,0
136,12,14,0,14,13,1,0
137,12,13,11,11,13,1,0
138,15,12,0,12,14,1,0
139,14,13,15,14,13,1,0
140,12,12,11,14,15,1,0
141,10,13,0,13,13,1,0
142,11,12,0,14,14,2,0
143,13,13,0,15,13,1,0
144,15,14,0,12,13,1,0
145,11,12,9,12,14,1,0
146,14,12,11,15,14,2,0
147,11,14,11,12,13,1,0
148,8,13,12,13,13,1,0
149,11,14,0,11,13,1,0
150,15,13,0,13,14,1,0
151,15,13,13,15,13,1,0
152,13,13,10,13,13,2,0
153,13,12,12,15,12,1,0
154,13,15,9,12,13,1,0
155,9,14,0,13,12,1,0
156,13,13,12,12,14,1,0
157,10,14,0,9,12,1,0
158,15,13,15,12,14,1,0
159,15,12,0,13,14,2,0
160,15,13,9,14,13,1,0
161,13,11,10,13,14,1,0
162,15,11,13,14,15,1,0
163,12,13,13,12,13,1,0
164,12,11,12,15,13,2,0
165,12,13,10,13,13,1,0
166,11,14,8,11,12,1,0
167,12,12,0,14,15,1,0
168,9,15,12,13,11,1,0
169,13,12,14,14,15,2,0
170,13,14,12,13,14,1,0
171,14,13,13,14,13,1,0
172,12,14,10,14,13,1,0
173,14,13,0,13,13,2,0
174,11,15,0,14,12,1,0
175,14,12,13,14,15,1,0
176,12,15,0,13,12,1,0
177,12,13,0,13,13,2,0
178,14,11,13,7,15,2,0
179,7,13,13,15,12,1,0
180,12,12,9,13,14,1,0
181,13,15,10,11,12,1,0
182,14,15,11,12,12,1,0
183,12,13,13,15,13,1,0
184,14,13,13,15,14,1,0
185,13,13,12,14,13,1,0
186,13,13,9,13,13,1,0
187,12,15,0,13,12,1,0
188,7,15,0,13,10,1,0
189,14,12,0,15,15,1,0
190,14,13,0,13,13,1,0
191,13,13,14,15,14,1,0
192,14,12,11,12,14,1,0
193,12,15,0,14,13,1,0
194,13,13,7,13,13,1,0
195,14,13,0,13,14,1,0
196,12,13,10,13,13,1,0
197,11,14,7,7,13,1,0
198,13,14,10,14,13,1,0
199,14,12,0,13,12,1,0
200,12,15,0,14,12,1,0
201,14,13,12,14,14,1,0
202,7,11,11,13,13,1,0
203,12,14,11,14,12,1,0
204,10,13,0,14,13,1,0
205,12,14,0,12,13,1,0
206,13,13,0,14,14,1,0
207,14,12,14,14,14,1,0
208,12,13,15,13,13,1,0
209,8,14,0,10,13,1,0
210,14,12,13,14,14,1,0
211,11,13,12,12,13,1,0
212,13,13,13,0,13,2,0
213,11,13,0,13,14,1,0
214,13,14,0,13,12,1,0
215,12,14,0,13,12,1,0
216,10,14,10,13,12,1,0
217,11,15,13,13,12,1,0
218,12,12,12,13,13,1,0
219,12,15,0,14,13,1,0
220,15,12,14,9,14,1,0
221,10,12,14,15,14,1,0
222,14,12,9,13,14,1,0
223,13,13,0,14,14,1,0
224,11,10,0,11,12,2,0
225,11,11,12,13,14,1,0
226,12,14,8,13,12,1,0
227,10,11,11,12,15,1,0
228,13,13,0,15,13,1,0
229,8,14,14,13,12,1,0
230,14,14,0,15,12,1,0
231,12,12,10,14,14,1,0
232,12,11,11,12,12,1,0
233,7,12,10,12,11,1,0
234,11,12,10,13,14,1,0
235,9,14,0,13,12,1,0
236,13,13,10,14,14,1,0
237,13,12,13,14,14,1,0
238,12,12,10,13,14,1,0
239,11,12,11,14,14,1,0
240,14,12,0,13,14,1,0
241,12,13,11,12,14,1,0
242,13,13,0,12,13,1,0
243,14,12,12,14,14,1,0
244,14,12,0,13,14,1,0
245,14,12,13,14,14,1,0
246,10,14,11,11,12,1,0
247,13,14,0,13,12,1,0
248,13,13,0,11,13,1,0
249,13,10,0,14,12,1,0
250,14,12,14,15,14,1,0
251,13,13,0,14,13,1,0
252,10,13,0,14,14,1,0
253,12,10,12,13,12,2,0
254,14,11,0,14,11,1,0
255,13,9,13,15,13,1,0
256,6,10,10,13,12,1,0
257,8,14,11,12,12,1,0
258,14,13,0,14,12,1,0
259,15,12,12,13,14,1,0
260,10,13,11,13,13,1,0
261,7,9,9,11,12,1,0
262,12,10,0,13,10,1,0
263,11,9,0,14,12,1,0
264,8,14,0,13,8,1,0
265,7,9,7,8,9,1,0
266,7,8,0,10,10,1,0
267,15,7,0,12,11,2,0
